Week,DMA_Name,DMA_ID,TRx,TV_Spend,TV_Impressions,Display_Spend,Display_Impressions,PaidSearch_Spend,PaidSearch_Clicks,HCPCalls_Spend,HCPCalls_Count,Speaker_Spend,Speaker_Events,HCPEmail_Spend,HCPEmail_Sends,HCPSocial_Spend,HCPSocial_Engagements,Copay_Redemptions,Lagged_TRx,DMA_Population,Competitor_Spend,Seasonality
5/21/2023,New York NY,DMA_001,119925,157698,5116589,84267,8752597,49414,10326,191652,874,73888,6,15365,25404,24428,3498,24786,105534,7200000,223538,0.865
5/28/2023,New York NY,DMA_001,175463,187607,4801086,100986,11166803,67435,23874,267126,1251,173183,20,20074,37608,31509,4821,41616,154407,7200000,132763,1.072
6/4/2023,New York NY,DMA_001,125600,115214,3765340,93241,10630705,61530,18704,167682,781,0,0,17971,25312,36680,5448,32057,110528,7200000,127870,0.906
6/11/2023,New York NY,DMA_001,132763,139727,4293207,76111,7291519,80192,24121,0,0,0,0,26012,43918,47708,9359,34277,116831,7200000,173509,1.077
6/18/2023,New York NY,DMA_001,111250,0,0,90250,9890004,80649,20784,0,0,0,0,24571,42675,41900,5507,27669,97900,7200000,42488,1.077
6/25/2023,New York NY,DMA_001,111907,32867.4,833856,79695,9403852,49479,10271,53788.5,272,0,0,16741,21124,41259,5743,23704,98478,7200000,83390,0.997
7/2/2023,New York NY,DMA_001,114443,0,0,71958,8427904,50874,19211,63773.1,334,0,0,19059,28502,38134,6693,24322,100709,7200000,56284,1.009
7/9/2023,New York NY,DMA_001,115045,0,0,84027,8346681,46026,17391,53844.6,256,164344,19,23726,45853,36002,5217,21516,101239,7200000,73345,0.926
7/16/2023,New York NY,DMA_001,97396,0,0,89668,8734963,72857,35268,0,0,158096,13,19028,28637,0,0,18591,85708,7200000,66963,0.941
7/23/2023,New York NY,DMA_001,93462,29962,1005572,90111,7951622,49284,14250,48122.7,244,69039,8,14964,18878,0,0,17268,82246,7200000,62416,0.855
7/30/2023,New York NY,DMA_001,97092,126314.4,3930154,0,0,64096,22243,0,0,0,0,28399,38415,26614,4291,21825,85440,7200000,115748,1.031
8/6/2023,New York NY,DMA_001,137335,113799.59999999999,3042135,100943,10475864,52468,10633,82548,382,0,0,19024,25971,44451,6430,29006,120854,7200000,91967,1.092
8/13/2023,New York NY,DMA_001,84431,0,0,94866,10397348,47913,16701,0,0,0,0,22488,39503,19855,2681,20756,74299,7200000,62185,0.87
8/20/2023,New York NY,DMA_001,90200,0,0,71029,6252088,58919,17397,62480.1,285,0,0,16150,20981,0,0,21735,79376,7200000,62687,0.967
8/27/2023,New York NY,DMA_001,188511,149759.4,4125244,147608,12467069,128649,28459,0,0,0,0,28996,40277,42925,5844,44419,165889,7200000,147594,1.499
9/3/2023,New York NY,DMA_001,228926,113692.2,3836759,120885,12080758,119727,28163,262795,1427,258881,27,35769,46460,0,0,52618,201454,7200000,134710,1.471
9/10/2023,New York NY,DMA_001,197949,166353,4915792,95700,8546038,113265,24316,303265,1410,213490,22,28033,41768,0,0,48407,174195,7200000,211281,1.312
9/17/2023,New York NY,DMA_001,210499,250373,7070262,0,0,68408,15321,308693,1496,258321,26,39012,64354,61042,9464,44575,185239,7200000,190412,1.458
9/24/2023,New York NY,DMA_001,232107,308796,8806817,97667,8180100,90817,23067,313137,1494,0,0,30105,59222,51054,6886,51604,204254,7200000,195532,1.479
10/1/2023,New York NY,DMA_001,217020,248545,7807299,131352,12915645,69237,14225,272321,1483,0,0,28559,42725,62900,9639,45169,190977,7200000,243401,1.411
10/8/2023,New York NY,DMA_001,220535,198246,5400858,159308,14094760,89874,20072,280246,1427,0,0,24745,48627,49962,8176,53761,194070,7200000,190284,1.426
10/15/2023,New York NY,DMA_001,198546,185777,4900695,83090,9103073,113826,23986,240571,1116,0,0,36898,50705,51125,6892,41913,174720,7200000,242643,1.333
10/22/2023,New York NY,DMA_001,191229,0,0,112212,11708881,77897,23826,358961,1769,0,0,38006,52982,36304,5316,38652,168281,7200000,66465,1.406
10/29/2023,New York NY,DMA_001,151481,0,0,136780,14965550,0,0,329520,1566,199422,17,35291,46166,46095,8073,32620,133303,7200000,124729,1.324
11/5/2023,New York NY,DMA_001,227877,43711.200000000004,1529395,143853,12259757,103931,23101,299006,1502,219274,21,30573,49472,40101,6935,42886,200531,7200000,88663,1.411
11/12/2023,New York NY,DMA_001,177173,37108.8,939677,85554,8629322,80435,40129,245650,1189,120831,12,30022,49302,37556,6966,36611,155912,7200000,67537,1.135
11/19/2023,New York NY,DMA_001,165050,0,0,116037,10461137,89290,36835,252971,1268,0,0,30228,59956,48567,7173,41893,145244,7200000,60280,1.194
11/26/2023,New York NY,DMA_001,165587,47985.4,1615274,73171,8439481,83719,34571,224307,1076,0,0,24447,33528,44081,5813,35228,145716,7200000,111370,1.161
12/3/2023,New York NY,DMA_001,164879,125869.2,3694861,108983,10041659,72861,16934,289670,1336,0,0,28341,40515,48181,7451,36067,145093,7200000,216600,1.134
12/10/2023,New York NY,DMA_001,92804,0,0,80230,7690238,65933,13996,0,0,0,0,23105,30585,0,0,23799,81667,7200000,69085,1.133
12/17/2023,New York NY,DMA_001,149659,122968.79999999999,4128796,84301,9767029,48922,17989,68016,317,0,0,28133,47876,26894,5239,28941,131699,7200000,128604,1.132
12/24/2023,New York NY,DMA_001,138874,125325,4326979,111015,13224937,85854,23740,0,0,0,0,26907,35211,46219,7700,35292,122209,7200000,114824,1.103
12/31/2023,New York NY,DMA_001,164063,131322,4490387,121213,12247998,91713,26211,0,0,0,0,24714,38028,54983,7312,33752,144375,7200000,207209,1.208
1/7/2024,New York NY,DMA_001,183449,146475,3848060,112128,12759067,97429,22095,91899.3,431,0,0,35691,58177,47978,7195,44559,161435,7200000,177115,1.213
1/14/2024,New York NY,DMA_001,215177,187091,6102544,106583,9830124,79708,24789,278353,1499,0,0,33441,48835,50741,6698,47529,189355,7200000,125791,1.279
1/21/2024,New York NY,DMA_001,221588,239322,7460135,91306,8163415,83086,28206,272707,1369,0,0,26174,35019,62445,12271,57434,194997,7200000,212773,1.303
1/28/2024,New York NY,DMA_001,224334,187432,5990838,112690,10802950,101803,28770,361256,2003,0,0,37260,61466,44564,6651,56668,197413,7200000,243340,1.291
2/4/2024,New York NY,DMA_001,206460,257274,8131953,90557,10696239,64344,13926,310354,1651,0,0,35477,54384,34131,6036,42915,181684,7200000,273276,1.255
2/11/2024,New York NY,DMA_001,199150,280325,7637059,93993,7663210,74016,17253,259819,1285,0,0,25156,43250,34424,6352,50904,175252,7200000,261653,1.243
2/18/2024,New York NY,DMA_001,248752,288697,7833117,109942,8946242,96014,24218,328276,1630,251835,24,25194,43722,58707,8297,60625,218901,7200000,288305,1.335
2/25/2024,New York NY,DMA_001,164957,0,0,117319,10061597,63926,25853,250385,1213,117681,11,27624,35785,35642,4635,31273,145162,7200000,111728,1.101
3/3/2024,New York NY,DMA_001,202661,34342.6,1126700,130568,13629366,90567,18949,280887,1326,165448,18,34797,44440,52336,9094,40055,178341,7200000,74803,1.196
3/10/2024,New York NY,DMA_001,171292,0,0,84625,9332850,106177,49573,287342,1373,0,0,34068,51607,27538,3470,35387,150736,7200000,40728,1.15
3/17/2024,New York NY,DMA_001,178738,0,0,112746,11068336,99023,26712,284716,1496,166964,19,29585,50179,28963,3758,36459,157289,7200000,67776,1.128
3/24/2024,New York NY,DMA_001,120913,0,0,101332,10655260,69737,21200,197848,1009,122066,10,0,0,31909,4884,30546,106403,7200000,66925,0.887
3/31/2024,New York NY,DMA_001,169575,38191.6,1154098,84533,9325338,51948,11635,257643,1334,177973,18,20901,32765,46297,8894,43885,149226,7200000,105282,1.063
4/7/2024,New York NY,DMA_001,135296,103618.8,3504710,81560,8208495,78723,37561,167901,807,0,0,14653,21614,40754,5099,28917,119060,7200000,143600,0.876
4/14/2024,New York NY,DMA_001,106251,93133.2,2363685,75465,6885184,57658,19574,206386,1044,0,0,0,0,0,0,23848,93500,7200000,145322,0.861
4/21/2024,New York NY,DMA_001,174338,136304.4,4734206,87295,9464776,98321,41292,231761,1186,0,0,18242,24273,45262,5868,43526,153417,7200000,106259,1.053
4/28/2024,New York NY,DMA_001,167813,106638.59999999999,3207609,88773,7201171,56148,22309,267774,1254,0,0,25575,33928,28038,4005,33857,147675,7200000,191453,1.103
5/5/2024,New York NY,DMA_001,143528,0,0,73750,7199657,65727,19341,227669,1214,0,0,28647,48410,41554,5327,30680,126304,7200000,37353,1.048
5/12/2024,New York NY,DMA_001,147770,109641.59999999999,2992278,102512,9622882,88057,26975,214165,977,86383,8,15460,22990,23560,3219,31099,130037,7200000,160591,0.927
5/19/2024,New York NY,DMA_001,190298,189773,5189407,113474,10674133,81578,30142,245188,1324,175427,20,0,0,26420,5277,37383,167462,7200000,190188,1.119
5/26/2024,New York NY,DMA_001,152429,230350,7648029,105521,11101756,0,0,207204,1098,214488,18,27436,43961,32353,5393,34591,134137,7200000,242950,1.087
6/2/2024,New York NY,DMA_001,170650,213928,6757575,123995,9943674,87889,24590,203151,1045,0,0,20096,34091,36225,4860,36469,150172,7200000,216253,1.064
6/9/2024,New York NY,DMA_001,126071,172920,4424057,83747,9430063,63227,15009,0,0,0,0,26965,52152,28959,4138,32019,110942,7200000,145283,0.997
6/16/2024,New York NY,DMA_001,127884,205166,6920588,79960,8283866,63826,14310,0,0,0,0,18098,33086,24996,3591,27343,112537,7200000,149711,1.013
6/23/2024,New York NY,DMA_001,105024,123028,3739854,61603,5144012,60866,13453,0,0,0,0,23977,34408,24079,3422,19319,92421,7200000,172308,0.901
6/30/2024,New York NY,DMA_001,140134,37506.8,1077619,121470,14396086,91899,28753,76173.59999999999,387,0,0,30484,59210,27529,3773,34425,123317,7200000,150409,0.991
7/7/2024,New York NY,DMA_001,130100,0,0,82157,7379849,77911,20570,62514.6,299,103684,8,18970,30733,26213,4991,33631,114488,7200000,62967,1.009
7/14/2024,New York NY,DMA_001,136100,0,0,82086,6899176,64011,19046,78881.09999999999,393,121014,10,30021,46190,39479,6410,29781,119768,7200000,56768,1.01
7/21/2024,New York NY,DMA_001,154663,30401,995014,110302,12306133,64707,17042,84551.4,422,156864,16,30538,51978,48771,8802,38934,136103,7200000,121913,1.013
7/28/2024,New York NY,DMA_001,108844,25039.4,631565,79274,9000602,81957,31845,0,0,0,0,27584,40575,27772,3497,25047,95782,7200000,54296,0.903
8/4/2024,New York NY,DMA_001,129437,0,0,98297,11675732,66433,28459,0,0,0,0,20417,32777,36285,6431,24980,113904,7200000,79447,1.125
8/11/2024,New York NY,DMA_001,139963,127999.2,3320957,99464,8024774,91264,20476,66780.9,304,0,0,33514,51301,0,0,31163,123167,7200000,154073,1.109
8/18/2024,New York NY,DMA_001,109231,80182.2,2355634,73707,8047014,58666,22537,0,0,0,0,26503,46533,37016,5943,22987,96123,7200000,124387,0.863
8/25/2024,New York NY,DMA_001,201461,192084.6,5335095,101334,11594993,70298,18291,0,0,0,0,43794,84203,68933,11772,46680,177285,7200000,183887,1.447
9/1/2024,New York NY,DMA_001,243399,0,0,149681,14675256,126077,40469,285272,1435,154230,15,30049,56571,42236,6090,56595,214191,7200000,90610,1.47
9/8/2024,New York NY,DMA_001,259476,177633,4498505,166499,14344841,88333,21391,407234,2244,228731,27,0,0,42423,7365,55550,228338,7200000,293792,1.467
9/15/2024,New York NY,DMA_001,226621,0,0,139124,14737554,75011,24202,404077,1999,274470,23,0,0,43736,7887,50169,199426,7200000,101311,1.449
9/22/2024,New York NY,DMA_001,222726,264064,8667084,110231,11451802,71785,14454,259019,1273,0,0,34467,65089,62766,11891,53637,195998,7200000,159848,1.323
9/29/2024,New York NY,DMA_001,225351,271175,8629514,151188,16796860,69166,18853,319178,1476,0,0,24101,42980,54778,7365,52614,198308,7200000,392933,1.33
10/6/2024,New York NY,DMA_001,255028,319712,10275006,116868,11348591,96283,20905,355814,1637,0,0,27458,46177,67509,9022,46710,224424,7200000,190116,1.468
10/13/2024,New York NY,DMA_001,215270,237638,6135380,136384,13129222,101340,21758,275038,1335,0,0,22495,35790,36736,5808,50102,189437,7200000,245444,1.313
10/20/2024,New York NY,DMA_001,213346,241160,6081583,131322,14522239,98628,30641,342701,1873,0,0,28515,41465,0,0,49963,187744,7200000,349231,1.354
10/27/2024,New York NY,DMA_001,245200,234247,7233278,139798,11616365,92368,30084,302613,1388,142176,13,36506,59594,32226,6318,46968,215776,7200000,300667,1.339
11/3/2024,New York NY,DMA_001,233495,47125,1267317,111024,12883043,95110,27047,333339,1707,177526,19,0,0,63334,11453,57748,205475,7200000,112762,1.397
11/10/2024,New York NY,DMA_001,186485,39553,1041855,116121,11548827,92909,26642,277614,1297,101840,10,30251,48946,35865,5640,34252,164106,7200000,122234,1.136
11/17/2024,New York NY,DMA_001,159265,0,0,86218,9649253,78771,39332,219176,1083,0,0,26145,39771,27947,3613,33874,140153,7200000,66683,1.122
11/24/2024,New York NY,DMA_001,125770,0,0,0,0,76080,15875,226730,1146,0,0,29990,41316,30576,4932,26275,110677,7200000,0,1.153
12/1/2024,New York NY,DMA_001,167179,0,0,141331,13570021,93574,23515,319978,1523,0,0,24337,41198,46225,8037,31667,147117,7200000,131411,1.146
12/8/2024,New York NY,DMA_001,139061,0,0,85329,7218770,56120,11469,72533.7,366,0,0,34525,51699,43644,6962,33947,122373,7200000,79957,1.172
12/15/2024,New York NY,DMA_001,115343,111352.2,2936675,0,0,78366,23899,0,0,0,0,26033,51606,27817,3665,21826,101501,7200000,95711,1.144
12/22/2024,New York NY,DMA_001,156503,100912.2,2991315,135211,14849331,79281,20330,94350.59999999999,473,0,0,0,0,53821,9870,30709,137722,7200000,118147,1.112
1/1/2023,Los Angeles CA,DMA_002,186469,194179,6407727,130921,11876161,63622,18554,81205.8,428,0,0,36792,50206,54133,10610,47777,167822,6670000,266101,1.349
1/8/2023,Los Angeles CA,DMA_002,152175,192011,5579112,115459,10270379,87814,23892,0,0,0,0,21904,28557,34332,4820,36919,133914,6670000,283775,1.29
1/15/2023,Los Angeles CA,DMA_002,170302,203223,6511544,102141,12167798,89085,33663,219283,1199,0,0,31519,40756,0,0,38982,149865,6670000,143684,1.228
1/22/2023,Los Angeles CA,DMA_002,164017,158425,4078470,123467,12427763,69702,24962,240646,1276,0,0,24324,31145,0,0,40167,144334,6670000,212971,1.251
1/29/2023,Los Angeles CA,DMA_002,191829,231329,7757011,82426,8735884,104746,30507,224904,1109,0,0,23304,38575,32973,4923,38623,168809,6670000,206765,1.296
2/5/2023,Los Angeles CA,DMA_002,178552,205537,6862314,92230,10871723,100924,28872,296343,1359,0,0,23014,31079,27086,3659,44507,157125,6670000,190406,1.207
2/12/2023,Los Angeles CA,DMA_002,154081,0,0,124971,14073164,98233,26771,241285,1122,0,0,29235,39403,33943,4549,39313,135591,6670000,81796,1.212
2/19/2023,Los Angeles CA,DMA_002,169295,0,0,119445,13382457,91219,31344,271535,1282,155059,19,28077,52290,0,0,38777,148979,6670000,80093,1.282
2/26/2023,Los Angeles CA,DMA_002,147498,0,0,99067,10549190,88421,25416,212761,1045,97922,11,27432,35118,31932,4505,37663,129798,6670000,75878,1.104
3/5/2023,Los Angeles CA,DMA_002,155531,0,0,124987,10511645,68342,14072,203623,1025,194949,18,31815,41472,45913,6820,37603,136867,6670000,56476,1.165
3/12/2023,Los Angeles CA,DMA_002,136197,0,0,89980,7350384,58000,13854,281879,1528,0,0,19746,38660,25844,3519,34840,119853,6670000,47121,1.142
3/19/2023,Los Angeles CA,DMA_002,156058,0,0,81468,8505464,49179,15155,258182,1260,191450,16,30577,49076,41681,5247,36201,137331,6670000,55415,1.166
3/26/2023,Los Angeles CA,DMA_002,105164,75813,2079250,71236,7167328,43406,12768,181363,936,97317,10,19956,30082,0,0,19923,92544,6670000,80305,0.851
4/2/2023,Los Angeles CA,DMA_002,125945,100225.2,3366108,102172,9133217,55765,13224,175669,866,89895,8,23946,32478,19884,2727,25227,110831,6670000,188448,0.929
4/9/2023,Los Angeles CA,DMA_002,118516,66503.4,2222363,73428,8458469,56815,12385,230242,1194,0,0,20257,35261,34722,4556,27898,104294,6670000,65474,0.903
4/16/2023,Los Angeles CA,DMA_002,153913,111264.59999999999,2830790,66680,6363319,85432,38503,254444,1286,0,0,21080,29828,34121,6576,30362,135443,6670000,166308,1.075
4/23/2023,Los Angeles CA,DMA_002,103465,76264.2,2469243,69225,8058604,46044,10241,205934,1134,0,0,23031,40537,0,0,22840,91049,6670000,130989,0.89
4/30/2023,Los Angeles CA,DMA_002,107415,90411,3152299,86757,8136371,52982,10819,154851,743,0,0,13237,18188,25361,4811,25793,94525,6670000,95348,0.863
5/7/2023,Los Angeles CA,DMA_002,157968,184625,4815287,68558,6487557,97749,19994,216899,1042,0,0,27028,36129,35274,5899,34029,139011,6670000,215621,1.145
5/14/2023,Los Angeles CA,DMA_002,120970,132932,3344796,84013,6845527,44984,10199,220356,1157,110454,10,19327,28021,21883,3555,22536,106453,6670000,201881,0.889
5/21/2023,Los Angeles CA,DMA_002,133662,158276,4831913,56168,6054153,70838,25405,172557,793,90549,10,19875,33420,31292,4010,24544,117622,6670000,123675,0.92
5/28/2023,Los Angeles CA,DMA_002,121359,178243,5360672,0,0,73464,16061,240983,1208,89603,9,23485,29778,27519,3810,27120,106795,6670000,83729,0.984
6/4/2023,Los Angeles CA,DMA_002,132398,137705,4485230,75897,8100621,71792,16149,224334,1099,0,0,22252,40769,25644,3873,29307,116510,6670000,203940,0.976
6/11/2023,Los Angeles CA,DMA_002,112465,158232,3971958,83169,6838560,52374,23250,0,0,0,0,27009,34836,28952,4497,24817,98969,6670000,216414,0.991
6/18/2023,Los Angeles CA,DMA_002,94983,38373.200000000004,1162260,81463,8381671,57586,12390,0,0,0,0,24178,39562,20513,2663,24566,83585,6670000,92214,0.955
6/25/2023,Los Angeles CA,DMA_002,105745,25525.600000000002,711240,73898,6834375,63098,14686,69086.7,349,0,0,18969,29352,36128,4779,26748,93055,6670000,45533,0.938
7/2/2023,Los Angeles CA,DMA_002,110750,38180.8,1196923,119005,12069166,91672,21956,0,0,0,0,0,0,37746,7113,20916,97460,6670000,121183,1.079
7/9/2023,Los Angeles CA,DMA_002,107201,23313.2,653654,97088,11583916,76368,18806,0,0,145881,16,19733,37265,39050,5213,26954,94336,6670000,97692,0.911
7/16/2023,Los Angeles CA,DMA_002,92722,0,0,95225,10785157,49882,12569,0,0,175870,20,16662,22222,0,0,20247,81595,6670000,51194,0.99
7/23/2023,Los Angeles CA,DMA_002,87938,0,0,0,0,75477,28301,51269.7,274,75164,8,22035,30888,19948,2762,16272,77385,6670000,0,0.926
7/30/2023,Los Angeles CA,DMA_002,60990,0,0,100888,11871681,0,0,0,0,0,0,16119,28702,34537,5689,11001,53671,6670000,87606,0.921
8/6/2023,Los Angeles CA,DMA_002,125026,81807,2613908,67338,6788914,87214,27212,0,0,0,0,30257,39502,24102,4371,25067,110022,6670000,103463,1.101
8/13/2023,Los Angeles CA,DMA_002,116670,77478,2464781,94203,10560060,71130,21340,0,0,0,0,20019,34755,23276,3939,29946,102669,6670000,158452,1.044
8/20/2023,Los Angeles CA,DMA_002,131851,126316.2,3445085,78415,6609074,48939,21918,58912.2,303,0,0,24998,46944,23997,3693,31408,116028,6670000,100409,1.055
8/27/2023,Los Angeles CA,DMA_002,159948,0,0,112556,9175133,108675,40676,0,0,0,0,34611,54079,53723,6721,32007,140754,6670000,77007,1.484
9/3/2023,Los Angeles CA,DMA_002,233829,138481.19999999998,3702924,98008,10811693,121783,31856,315180,1748,208472,25,23613,32786,36442,5941,48636,205769,6670000,138247,1.414
9/10/2023,Los Angeles CA,DMA_002,224974,236750,6554967,145974,16139022,86217,30284,249666,1323,188421,22,28974,44546,29601,4478,49875,197977,6670000,344491,1.356
9/17/2023,Los Angeles CA,DMA_002,238734,294500,9400106,110775,8968662,121760,26396,296734,1571,230494,23,0,0,58863,7474,50922,210085,6670000,203471,1.496
9/24/2023,Los Angeles CA,DMA_002,195775,267517,7094931,91853,10767457,75727,15185,248032,1173,0,0,30645,46449,31842,4008,45038,172282,6670000,247377,1.384
10/1/2023,Los Angeles CA,DMA_002,240883,291922,10068426,152776,17626336,117918,35262,351820,1767,0,0,37161,58343,62139,11038,46981,211977,6670000,204712,1.444
10/8/2023,Los Angeles CA,DMA_002,225643,230907,6427262,152351,17417714,76556,25587,301879,1443,0,0,38076,56138,32195,4996,46277,198565,6670000,349579,1.48
10/15/2023,Los Angeles CA,DMA_002,204808,238059,7358336,103738,12362394,109144,27113,272967,1299,0,0,35154,56717,41833,5305,37277,180231,6670000,277883,1.351
10/22/2023,Los Angeles CA,DMA_002,167734,0,0,107075,10442494,100020,46661,279617,1326,0,0,27455,36327,0,0,42632,147605,6670000,66982,1.392
10/29/2023,Los Angeles CA,DMA_002,205458,44165,1152041,122950,10217458,102069,26354,271458,1391,133967,15,27430,41637,31443,5452,52842,180803,6670000,111095,1.37
11/5/2023,Los Angeles CA,DMA_002,194899,0,0,88280,10332350,75644,30728,258545,1210,113845,10,29390,56201,59726,11228,42183,171511,6670000,69775,1.364
11/12/2023,Los Angeles CA,DMA_002,163409,30261.2,908221,102080,9219058,50730,11002,261239,1392,116744,10,19781,32498,35137,6457,31623,143799,6670000,60442,1.188
11/19/2023,Los Angeles CA,DMA_002,154891,0,0,96253,10526234,86905,26877,267383,1406,0,0,24771,42367,50212,7202,28786,136304,6670000,73418,1.187
11/26/2023,Los Angeles CA,DMA_002,123667,29268.4,754286,81990,9267477,72663,16352,227711,1191,0,0,0,0,0,0,31716,108826,6670000,53915,1.156
12/3/2023,Los Angeles CA,DMA_002,182042,105453.59999999999,2929997,113971,11874153,90152,43796,291034,1387,0,0,26484,45088,52232,6879,36614,160196,6670000,108210,1.198
12/10/2023,Los Angeles CA,DMA_002,132840,120496.79999999999,4006128,86785,9454822,58139,23735,0,0,0,0,23587,37417,40497,5155,27948,116899,6670000,97987,1.125
12/17/2023,Los Angeles CA,DMA_002,133906,120541.2,3855558,83413,6739748,73458,24262,0,0,0,0,18954,25426,44683,6713,27260,117837,6670000,175237,1.167
12/24/2023,Los Angeles CA,DMA_002,112077,0,0,89545,9744200,71517,35687,0,0,0,0,18903,32702,24329,3421,22473,98627,6670000,68509,1.101
12/31/2023,Los Angeles CA,DMA_002,174700,163871.4,4850352,95908,9155917,96105,23591,0,0,0,0,30851,50891,60657,8110,43467,153736,6670000,242968,1.336
1/7/2024,Los Angeles CA,DMA_002,182684,138237.6,3762978,125528,13141070,118483,36912,0,0,0,0,27791,51929,47973,6358,36695,160761,6670000,185924,1.349
1/14/2024,Los Angeles CA,DMA_002,220457,262964,7907110,157575,14411065,117518,40751,283276,1287,0,0,21816,38910,31050,3901,43535,194002,6670000,201698,1.318
1/21/2024,Los Angeles CA,DMA_002,213735,274182,8721272,125656,13567730,92392,30235,261680,1350,0,0,24978,34334,58846,10741,51583,188086,6670000,329037,1.266
1/28/2024,Los Angeles CA,DMA_002,205177,215886,6410980,102222,11600477,73580,28208,333996,1832,0,0,35256,62424,30853,4785,45037,180555,6670000,289341,1.232
2/4/2024,Los Angeles CA,DMA_002,187168,170176,5087135,135327,13301338,65139,21432,304992,1417,0,0,0,0,54610,8574,45545,164707,6670000,242073,1.242
2/11/2024,Los Angeles CA,DMA_002,224007,223318,6379334,140642,12136209,108763,25231,317395,1659,0,0,33818,55994,50289,9351,44183,197126,6670000,199647,1.332
2/18/2024,Los Angeles CA,DMA_002,239831,280044,7523064,138314,16280151,98084,41993,263351,1218,198136,19,27060,42729,52044,9730,54865,211051,6670000,333644,1.289
2/25/2024,Los Angeles CA,DMA_002,175892,31567.4,912262,106286,11392097,62271,27531,249251,1285,122930,11,25985,37426,37764,6156,32670,154784,6670000,86798,1.104
3/3/2024,Los Angeles CA,DMA_002,174807,36306.200000000004,1068316,132559,11520947,91882,35878,232352,1118,201807,18,0,0,37810,4768,38578,153830,6670000,74769,1.134
3/10/2024,Los Angeles CA,DMA_002,149151,0,0,109611,12681869,70654,24157,226662,1197,0,0,23102,29955,27718,3899,38271,131252,6670000,90572,1.112
3/17/2024,Los Angeles CA,DMA_002,162679,0,0,96306,10521578,64871,13176,291786,1364,222740,25,0,0,51848,6706,33573,143157,6670000,80097,1.175
